# Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity
TOI-1136,12 48 44.3726,9.399999726156238e-06,+64 51 19.147,9.399999726156238e-06,ICRS,2000.0,1.216,MAS/YR,-10.045,MAS/YR,0.0118236,9.5,0.019999999552965164,G=9.375505447387695,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-1266,13 11 59.5600,1.1500000255182385e-05,+65 50 01.703,1.1500000255182385e-05,ICRS,2000.0,-150.557,MAS/YR,-25.339,MAS/YR,0.027739999999999997,13.0,0.03999999910593033,G=12.110209465026855,STAR,"[M V-IV, Extra-solar Planetary System]",-41.58
TOI-1468,01 06 36.9754,2.9599999834317714e-05,+19 13 33.163,2.9599999834317714e-05,ICRS,2000.0,-42.067,MAS/YR,-222.790,MAS/YR,0.0404516,12.5,0.2,G=12.104721069335938,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-1695,01 27 40.9728,1.0700000530050602e-05,+72 17 47.186,1.0700000530050602e-05,ICRS,2000.0,71.628,MAS/YR,40.450,MAS/YR,0.0222257,13.0,0.07999999821186066,G=12.127464294433594,STAR,"[M V-IV, Extra-solar Planetary System]",-59.46
TOI-1710,06 17 07.8623,7.699999514443334e-06,+76 12 38.809,7.699999514443334e-06,ICRS,2000.0,59.643,MAS/YR,55.668,MAS/YR,0.0123247,9.5,0.019999999552965164,G=9.367423057556152,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-1759,21 47 24.7901,9.299999874201603e-06,+62 45 13.903,9.299999874201603e-06,ICRS,2000.0,-173.425,MAS/YR,-10.654,MAS/YR,0.0249224,11.9,0.1,G=10.838576316833496,STAR,"[M V-IV, Extra-solar Planetary System]",-61.33
TOI-1801,11 42 18.3739,1.52000002344721e-05,+23 01 36.672,1.52000002344721e-05,ICRS,2000.0,-204.891,MAS/YR,41.839,MAS/YR,0.0323697,11.4,0.12999999523162842,G=10.829634666442871,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-2018,15 19 21.1530,7.199999799922807e-06,+29 12 22.227,7.199999799922807e-06,ICRS,2000.0,-141.017,MAS/YR,395.497,MAS/YR,0.0356664,10.2,0.03,G=9.723947525024414,STAR,"[K V-IV, Extra-solar Planetary System]",-25.617
TOI-2095,19 02 31.9305,1.3299999409355223e-05,+75 25 06.980,1.3299999409355223e-05,ICRS,2000.0,203.466,MAS/YR,-21.401,MAS/YR,0.0238571,13.2,0.2,G=12.086018562316895,STAR,"[M V-IV, Extra-solar Planetary System]",-19.94
TOI-2134,18 07 44.4477,1.2999999853491317e-05,+39 04 26.923,1.2999999853491317e-05,ICRS,2000.0,54.536,MAS/YR,-283.051,MAS/YR,0.0441087,8.9,0.003,G=8.514701843261719,STAR,"[K V-IV, Extra-solar Planetary System]",-20.96
TOI-2136,18 44 42.3658,1.3799999578623101e-05,+36 33 44.530,1.3799999578623101e-05,ICRS,2000.0,-33.809,MAS/YR,177.053,MAS/YR,0.0299756,14.3,0.2,G=12.94622802734375,STAR,"[M V-IV, Extra-solar Planetary System]",-28.8
TOI-2141,17 15 02.9060,9.299999874201603e-06,+18 20 26.764,9.299999874201603e-06,ICRS,2000.0,52.229,MAS/YR,-98.286,MAS/YR,0.0129566,9.5,0.019999999552965164,G=9.352543830871582,STAR,"[G V-IV, Extra-solar Planetary System]",-19.45
TOI-244,00 42 16.9405,1.9400000383029692e-05,-36 43 05.414,1.9400000383029692e-05,ICRS,2000.0,-154.880,MAS/YR,45.632,MAS/YR,0.045299799999999994,12.7,,G=11.548954010009766,STAR,"[M V-IV, Extra-solar Planetary System]",13.189
TOI-2443,02 40 42.8731,1.7700000171316788e-05,+01 11 55.240,1.7700000171316788e-05,ICRS,2000.0,283.915,MAS/YR,231.745,MAS/YR,0.0418223,9.5,,G=9.037830352783203,STAR,"[K V-IV, Extra-solar Planetary System]",
TOI-2459,05 28 34.2813,1.0900000233959872e-05,-39 22 23.226,1.0900000233959872e-05,ICRS,2000.0,88.566,MAS/YR,16.941,MAS/YR,0.0272943,10.8,0.05999999865889549,G=10.168684005737305,STAR,"[K V-IV, Extra-solar Planetary System]",
TOI-257,03 10 03.9822,1.4199999895936344e-05,-50 49 56.580,1.4199999895936344e-05,ICRS,2000.0,97.986,MAS/YR,27.924,MAS/YR,0.0130107,7.5,0.009999999776482582,G=7.430988788604736,STAR,"[K V-IV, Extra-solar Planetary System]",
HD22946,03 39 16.7617,1.2500000593718141e-05,-42 45 45.185,1.2500000593718141e-05,ICRS,2000.0,-51.618,MAS/YR,-110.546,MAS/YR,0.0158985,8.3,,G=8.139591217041016,STAR,"[K V-IV, Extra-solar Planetary System]",15.543
TOI-444,04 16 44.1893,7.60000011723605e-06,-26 45 57.260,7.60000011723605e-06,ICRS,2000.0,-25.766,MAS/YR,-116.434,MAS/YR,0.0174049,9.9,0.019999999552965164,G=9.611574172973633,STAR,"[K V-IV, Extra-solar Planetary System]",-0.959
TOI-540,05 05 14.4284,1.97000008483883e-05,-47 56 15.526,1.97000008483883e-05,ICRS,2000.0,-65.901,MAS/YR,24.895,MAS/YR,0.0715134,14.4,0.03999999910593033,G=12.873695373535156,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-620,09 28 41.5890,2.4800001483527012e-05,-12 09 55.752,2.4800001483527012e-05,ICRS,2000.0,35.858,MAS/YR,-389.785,MAS/YR,0.0302902,12.3,0.019999999552965164,G=11.308443069458008,STAR,"[M V-IV, Extra-solar Planetary System]",4.42
TOI-700,06 28 23.2285,2.8500000553322025e-05,-65 34 45.520,2.8500000553322025e-05,ICRS,2000.0,-102.641,MAS/YR,161.748,MAS/YR,0.0321328,13.1,0.019999999552965164,G=12.063116073608398,STAR,"[M V-IV, Extra-solar Planetary System]",-4.782
TOI-712,06 11 44.6726,9.299999874201603e-06,-65 49 33.498,9.299999874201603e-06,ICRS,2000.0,-2.816,MAS/YR,30.974,MAS/YR,0.017043,10.8,0.07000000029802322,G=10.579951286315918,STAR,"[K V-IV, Extra-solar Planetary System]",1.839
TOI-836,15 00 19.3983,1.359999987471383e-05,-24 27 14.693,1.359999987471383e-05,ICRS,2000.0,-199.483,MAS/YR,-27.997,MAS/YR,0.036352499999999996,9.9,0.019999999552965164,G=9.40713882446289,STAR,"[K V-IV, Extra-solar Planetary System]",-27.755
Wolf503,13 47 23.4438,1.4299999747890979e-05,-06 08 12.729,1.4299999747890979e-05,ICRS,2000.0,-342.862,MAS/YR,-573.112,MAS/YR,0.0224063,10.3,,G=9.901058197021484,STAR,"[K V-IV, Extra-solar Planetary System]",-46.83
EPIC205530323,16 32 56.0561,3.279999873484485e-05,-16 58 28.159,3.279999873484485e-05,ICRS,2000.0,-195.793,MAS/YR,-216.436,MAS/YR,0.0201647,16.3,,G=15.376812934875488,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-1063,15 22 14.0814,9.999999747378752e-06,-83 03 22.221,9.999999747378752e-06,ICRS,2000.0,-89.280,MAS/YR,-9.583,MAS/YR,0.016315899999999998,9.8,0.029999999329447746,G=9.594030380249023,STAR,"[G V-IV, Extra-solar Planetary System]",3.146
TOI-1154,16 59 41.7846,1.3500000022759195e-05,+64 41 56.795,1.3500000022759195e-05,ICRS,2000.0,-5.930,MAS/YR,24.199,MAS/YR,0.0106624,10.0,0.029999999329447746,G=9.763999938964844,STAR,"[G V-IV, Extra-solar Planetary System]",-12.92
TOI-119,06 36 57.1204,9.299999874201603e-06,-58 00 54.965,9.299999874201603e-06,ICRS,2000.0,51.581,MAS/YR,-205.539,MAS/YR,0.0149785,10.1,0.03999999910593033,G=9.826642990112305,STAR,"[G V-IV, Extra-solar Planetary System]",24.272
TOI-1203,11 12 54.0496,9.999999747378752e-06,-34 24 24.283,9.999999747378752e-06,ICRS,2000.0,292.971,MAS/YR,-44.538,MAS/YR,0.0153934,8.6,,G=8.432910919189453,STAR,"[G V-IV, Extra-solar Planetary System]",71.15
TOI-1247,15 11 28.9138,1.2100000276404899e-05,+71 50 27.424,1.2100000276404899e-05,ICRS,2000.0,-188.974,MAS/YR,80.197,MAS/YR,0.0136251,9.1,,G=8.922492980957031,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-128,05 18 05.3474,1.52000002344721e-05,-80 57 52.485,1.52000002344721e-05,ICRS,2000.0,-48.973,MAS/YR,45.385,MAS/YR,0.014656800000000001,8.5,0.009999999776482582,G=8.3839111328125,STAR,"[G V-IV, Extra-solar Planetary System]",9.74
TOI-1434,11 45 31.3382,1.1699999959091656e-05,+65 32 27.543,1.1699999959091656e-05,ICRS,2000.0,1.419,MAS/YR,76.521,MAS/YR,0.0264449,8.8,0.009999999776482582,G=8.57334041595459,STAR,"[G V-IV, Extra-solar Planetary System]",19.311
TOI-1451,12 26 05.8397,8.299999535665847e-06,+61 15 32.559,8.299999535665847e-06,ICRS,2000.0,-5.596,MAS/YR,-26.777,MAS/YR,0.0110085,9.6,0.019999999552965164,G=9.434757232666016,STAR,"[G V-IV, Extra-solar Planetary System]",-40.73
TOI-1643,18 09 03.5049,0.01600000075995922,+53 13 03.477,0.01600000075995922,ICRS,2000.0,-49.300,MAS/YR,24.900,MAS/YR,,9.4,0.07000000029802322,,STAR,"[K V-IV, Extra-solar Planetary System]",-23.14
TOI-1648,03 01 36.2358,9.299999874201603e-06,+69 13 47.640,9.299999874201603e-06,ICRS,2000.0,16.187,MAS/YR,5.430,MAS/YR,0.0143348,10.4,0.029999999329447746,G=10.18726921081543,STAR,"[K V-IV, Extra-solar Planetary System]",-32.01
TOI-1718,07 28 04.3526,1.52000002344721e-05,+30 19 20.649,1.52000002344721e-05,ICRS,2000.0,-22.175,MAS/YR,-155.676,MAS/YR,0.0192074,9.0,,G=8.76208782196045,STAR,"[G V-IV, Extra-solar Planetary System]",-13.93
TOI-1730,07 11 27.9426,1.7500000467407517e-05,+48 19 49.399,1.7500000467407517e-05,ICRS,2000.0,-92.924,MAS/YR,-570.393,MAS/YR,0.028052499999999998,12.2,,G=11.393925666809082,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-1735,20 53 21.2970,1.2900000001536682e-05,+64 13 44.185,1.2900000001536682e-05,ICRS,2000.0,42.282,MAS/YR,52.403,MAS/YR,0.0100383,8.8,0.009999999776482582,G=8.678010940551758,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-1742,17 09 18.8472,1.0599999768601265e-05,+71 52 35.040,1.0599999768601265e-05,ICRS,2000.0,24.385,MAS/YR,63.236,MAS/YR,0.013694699999999999,8.9,0.009999999776482582,G=8.735822677612305,STAR,"[G V-IV, Extra-solar Planetary System]",-31.08
TOI-1776,10 59 06.2560,1.97000008483883e-05,+40 59 00.988,1.97000008483883e-05,ICRS,2000.0,214.727,MAS/YR,25.641,MAS/YR,0.0223465,8.3,,G=8.101935386657715,STAR,"[G V-IV, Extra-solar Planetary System]",-24.445
TOI-1777,10 07 13.6886,8.600000001024455e-06,+46 06 53.913,8.600000001024455e-06,ICRS,2000.0,-0.675,MAS/YR,-21.965,MAS/YR,0.012477700000000001,9.3,0.019999999552965164,G=9.1613187789917,STAR,"[G V-IV, Extra-solar Planetary System]",-9.68
TOI-1799,11 08 55.9108,1.3699999726668466e-05,+34 18 11.485,1.3699999726668466e-05,ICRS,2000.0,-8.940,MAS/YR,-40.735,MAS/YR,0.0160685,9.0,0.019999999552965164,G=8.818791389465332,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-1898,09 38 13.3445,2.2700000045006163e-05,+23 32 48.925,2.2700000045006163e-05,ICRS,2000.0,-64.340,MAS/YR,-41.178,MAS/YR,0.0124791,7.9,0.009999999776482582,G=7.762272834777832,STAR,"[G V-IV, Extra-solar Planetary System]",-6.01
TOI-204,00 51 54.0620,9.60000033956021e-06,-59 20 34.815,9.60000033956021e-06,ICRS,2000.0,89.035,MAS/YR,-149.146,MAS/YR,0.0104773,9.8,0.029999999329447746,G=9.690492630004883,STAR,"[G V-IV, Extra-solar Planetary System]",8.757
TOI-2056,00 10 24.0911,1.3299999409355223e-05,+58 29 22.134,1.3299999409355223e-05,ICRS,2000.0,-98.730,MAS/YR,-9.845,MAS/YR,0.010782700000000001,8.8,0.09000000357627869,G=7.657005786895752,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-2112,22 55 24.9226,1.5699999494245276e-05,+70 17 50.224,1.5699999494245276e-05,ICRS,2000.0,38.396,MAS/YR,1.195,MAS/YR,0.0116054,7.5,0.009999999776482582,G=7.411837100982666,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-2128,17 07 55.8294,1.140000040322775e-05,+32 06 19.742,1.140000040322775e-05,ICRS,2000.0,-161.884,MAS/YR,-42.106,MAS/YR,0.0272686,7.2,,G=7.081035137176514,STAR,"[G V-IV, Extra-solar Planetary System]",
TOI-213,02 35 32.7828,9.899999895424116e-06,-71 37 26.980,9.899999895424116e-06,ICRS,2000.0,50.989,MAS/YR,-19.967,MAS/YR,0.0184195,10.9,0.013000000268220901,G=10.475887298583984,STAR,"[K V-IV, Extra-solar Planetary System]",25.35
