Teff,FUVmag,ETC,buffer_time
3127,22,STIS.sp.1930674,12229.96
3472,22,STIS.sp.1930675,11613.27
3679,21,STIS.sp.1930676,11847.12
4420,20,STIS.sp.1930677,9371.73
4977,20,STIS.sp.1930678,8880.19
5170,19,STIS.sp.1930679,8701.20
5800,20,STIS.sp.1930680,12472.81
6150,15,STIS.sp.1930681,11973.86
